排 行, 股票代號, 股票名稱, 成交張數
"1","1815","富喬","4,946,856"
"2","8096","擎亞","4,250,765"
"3","6125","廣運機械","3,433,692"
"4","5443","均豪精密","2,974,037"
"5","1785","光洋科技","2,892,037"
"6","8064","東捷科技","2,581,692"
"7","5347","世界先進","2,412,585"
"8","8936","國統國際","2,112,888"
"9","8054","安國國際","2,079,370"
"10","3163","波若威","1,911,194"
"11","4533","協易機械","1,896,632"
"12","6274","台燿科技","1,873,712"
"13","4909","新復興","1,835,188"
"14","5426","振發實業","1,730,931"
"15","6188","廣明光電","1,717,707"
"16","5512","力麒建設","1,716,037"
"17","3363","上詮","1,659,312"
"18","4714","永捷","1,492,149"
"19","3260","威剛科技","1,422,498"
"20","6462","神盾","1,334,977"
"21","3324","雙鴻科技","1,246,319"
"22","5371","中強光電","1,223,954"
"23","3374","精材","1,206,767"
"24","6290","良維科技","1,204,035"
"25","5009","榮剛材料","1,165,076"
"26","3663","鑫科","1,141,611"
"27","8069","元太","1,134,687"
"28","6207","雷科","1,097,813"
"29","4979","華星光","1,051,899"
"30","4303","信立","996,761"
"31","2641","正德","992,496"
"32","8085","福華電子","963,502"
"33","6147","頎邦科技","927,705"
"34","3264","欣銓科技","912,173"
"35","5483","中美晶","911,806"
"36","6244","茂迪","874,006"
"37","3483","力致科技","866,464"
"38","3548","兆利科技","859,347"
"39","8358","金居開發","856,037"
"40","5351","鈺創科技","855,791"
"41","3689","湧德","840,354"
"42","4908","前鼎光電","784,310"
"43","6126","信音企業","770,244"
"44","5452","佶優科技","749,916"
"45","3580","友威科","718,517"
"46","5498","凱崴","718,468"
"47","3105","穩懋","715,645"
"48","5392","能率","713,654"
"49","8086","宏捷科技","709,344"
"50","4510","高鋒工業","701,971"
"51","6187","萬潤","699,636"
"52","4513","福裕事業","696,564"
"53","8027","鈦昇","652,050"
"54","6223","旺矽科技","635,561"
"55","3294","英濟","632,130"
"56","5309","系統電子","624,853"
"57","6140","訊達電腦","615,640"
"58","6016","康和證券","608,169"
"59","6113","亞矽科技","606,289"
"60","3081","聯亞","605,285"
"61","6163","華電聯網","592,305"
"62","6684","安格","589,342"
"63","3615","安可光電","581,354"
"64","5905","南仁湖","570,994"
"65","4167","松瑞藥","570,022"
"66","3372","典範","566,120"
"67","3390","旭軟電子","563,082"
"68","3707","漢磊","558,129"
"69","1584","精剛精密","557,122"
"70","3287","廣寰科","554,486"
"71","4123","晟德","552,311"
"72","6284","佳邦科技","551,163"
"73","6233","旺玖科技","544,376"
"74","5230","雷笛克光學","541,043"
"75","3289","宜特科技","535,546"
"76","8089","康全電訊","527,965"
"77","3339","泰谷光電","520,606"
"78","4109","加捷生醫","520,602"
"79","6546","正基","519,446"
"80","6275","元山科技","514,764"
"81","6190","萬泰科技","511,585"
"82","4543","萬在","510,452"
"83","6182","合晶科技","493,844"
"84","5508","永信建設","484,004"
"85","6425","易發","480,666"
"86","3362","先進光","477,336"
"87","6143","振曜科技","475,244"
"88","6179","亞通利大","468,834"
"89","8034","榮群電訊","464,693"
"90","8299","群聯電子","462,212"
"91","3227","原相科技","459,816"
"92","8040","九暘","457,722"
"93","8071","能率網通","453,758"
"94","3360","尚立","453,223"
"95","6026","福邦證","445,768"
"96","5439","高技企業","444,435"
"97","8234","新漢","443,486"
"98","6530","創威","433,319"
"99","5381","合正科技","432,177"
"100","3202","樺晟電子","431,738"
"101","5328","華容","431,329"
"102","4726","永昕","428,791"
"103","6237","驊訊電子","426,894"
"104","3325","旭品","424,512"
"105","3265","台星科","421,990"
"106","3234","光環","421,170"
"107","4561","健椿","415,132"
"108","6667","信紘科","411,480"
"109","5425","台半","398,628"
"110","4743","合一","395,488"
"111","6217","中國探針","394,755"
"112","3498","陽程","393,633"
"113","6603","富強鑫","387,082"
"114","6219","富旺","386,364"
"115","8059","凱碩","385,988"
"116","3188","鑫龍騰","379,167"
"117","3564","其陽","378,138"
"118","6548","長科*","377,291"
"119","6127","九豪精密","375,218"
"120","4716","大立","370,358"
"121","4128","中天生技","366,364"
"122","6270","倍微科技","365,768"
"123","8076","伍豐科技","356,402"
"124","6015","宏遠證券","355,904"
"125","6265","方土昶","338,177"
"126","6488","環球晶","337,825"
"127","6227","茂綸","334,396"
"128","3217","優群科技","328,500"
