StockCode,StockName,Category
2255,凱銳光電,31
3678,聯享,26
7763,崇舜,21
4585,達明,31
8102,傑霖科技,24
6748,亞果生醫,22
6839,開陽能源,35
7530,鋒魁科技,24
7719,碳基,20
7821,神數,31
7551,知識科技,36
6648,斯其大,31
6868,采威國際,30
6559,研晶,26
6932,水星生醫*,22
4178,永笙-KY,22
6493,雷虎生,22
4587,寶元數控,05
7820,立盈,35
6883,微電能源,35
6979,勝釩,26
7583,國際海洋,35
7810,捷創科技,24
7816,來穎,28
7729,仲恩生醫,22
6999,瀚醫生技,22
6945,圓祥生技,22
7578,利百景,20
7789,開展,16
6820,連訊,27
6882,甲尚,30
5547,久舜,14
6976,育世博-KY,22
5246,勵威,24
7818,溢泰實業,20
7558,群利科技,20
6428,淘米,32
7777,能率亞洲,20
7847,豊漁,16
6879,大江基因,22
7427,華上生醫,22
2758,路易莎咖啡,16
8329,台視,32
2942,京站,38
7768,頌勝科技,24
6677,瑩碩生技,22
7562,博來科技,25
3659,百辰,26
6027,德信,17
4590,富田,05
7794,宏碁智新,38
7595,世基生醫,22
6876,朗齊生醫*,22
3633,云光,26
7767,仁大資訊,30
1623,大東電,06
7770,君曜,24
6934,心誠鎂,22
6723,傑智環境,35
4765,磐采,21
6980,鐳洋科技,27
7801,華芸科技,30
7748,鑫囍創業,20
8058,耐特,31
7419,達勝,28
2252,為昇科,31
6620,漢達,22
7742,天弘化,21
6977,聯純,35
4117,普生,22
6867,坦德科技,26
6028,公勝保經,17
7776,奧孟亞,22
8298,威睿,30
7786,東方風能,35
6652,雅祥生醫,22
7832,智新生技*,22
7842,天能綠電,35
9957,燁聯,10
7805,威聯通,36
7455,樺緯物聯,25
7828,創新服務,24
6986,和迅,22
4537,旭東,26
6884,海柏特,30
4570,傑生,05
7756,多那之,16
5248,景傳,26
6709,昱厚生技,22
6842,一元素,24
7725,列特博,22
6858,愛比科技,25
7831,捷博,38
6939,啟弘生技,22
4573,高明鐵,05
6898,程曦資訊,30
7607,通用幹細胞*,22
6650,帝圖,32
6787,晶瑞光,26
6621,華宇藥,22
4186,尖端醫,22
1269,乾杯,16
6699,奇邑,24
6564,安特羅,22
7765,中華資安,36
6971,惠民實業,35
7750,新代,05
4115,善德生技,22
7566,亞果遊艇,16
6984,ACpay,36
8359,錢櫃,16
6946,三地能源,35
7762,吉晟生,22
6750,泰創工程,31
7849,旭誼,31
7829,思捷優達-KY,22
6518,康科特,22
6947,台鎔科技,35
7833,綠岩能源,35
